usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,cost_type,inference_geo,speed
2026-03-06,Claude Haiku 4.5,Little Town Labs,RFPAutomator,message,≤ 200k,input_no_cache,0.01,token,not_available,
2026-03-06,Claude Haiku 4.5,Little Town Labs,RFPAutomator,message,≤ 200k,output,0.03,token,not_available,
2026-03-22,Claude Haiku 4.5,Little Town Labs,RFPAutomator,message,≤ 200k,input_no_cache,0.01,token,not_available,
2026-03-22,Claude Haiku 4.5,Little Town Labs,RFPAutomator,message,≤ 200k,output,0.02,token,not_available,
2026-03-24,Claude Sonnet 4.6,Little Town Labs,RFPAutomator,message,≤ 200k,input_no_cache,0.05,token,global,
2026-03-24,Claude Sonnet 4.6,Little Town Labs,RFPAutomator,message,≤ 200k,output,0.15,token,global,
2026-03-27,Claude Sonnet 4.6,Little Town Labs,RFPAutomator,message,≤ 200k,input_no_cache,0.05,token,global,
2026-03-27,Claude Sonnet 4.6,Little Town Labs,RFPAutomator,message,≤ 200k,output,0.13,token,global,
2026-03-28,Claude Sonnet 4.6,Little Town Labs,RFPAutomator,message,≤ 200k,input_no_cache,0.05,token,global,
2026-03-28,Claude Sonnet 4.6,Little Town Labs,RFPAutomator,message,≤ 200k,output,0.14,token,global,
2026-03-29,Claude Sonnet 4.6,Little Town Labs,RFPAutomator,message,≤ 200k,input_no_cache,0.12,token,global,
2026-03-29,Claude Sonnet 4.6,Little Town Labs,RFPAutomator,message,≤ 200k,output,0.32,token,global,
